Country name,Country code,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Afghanistan,AFG,Asia and the Pacific,South Asia,,,0,9.68,151,27.22,64,16.26,77,16.53,92,17.5,126
Albania,ALB,Europe,Southeastern Europe,,,0,53.33,1,29.51,56,40.25,17,36.93,22,53.6,15
Algeria,DZA,Middle East and North Africa,North Africa,,,0,15.15,120,21.55,95,32.13,35,17.59,88,22.8,95
Andorra,AND,Europe,Western Europe,,,0,50.00,1,46.43,8,46.21,4,35.80,23,65.7,7
Angola,AGO,Sub-Saharan Africa,Southern Africa,,,0,40.00,26,30,52,-1,-1,-1,-1,36.5,51
Antigua and Barbuda,ATG,Americas,Caribbean,,,0,15.38,116,31.43,48,-1,-1,66.67,1,41,35
Argentina,ARG,Americas,South America,,"Isabel Martínez de Perón, Cristina Fernández de Kirchner",2,22.73,76,40.73,18,-1,-1,-1,-1,37.7,45
Armenia,ARM,Europe,Caucasus,,,0,7.14,162,23.48,83,32.13,35,9.04,117,19.1,114
Australia,AUS,Asia and the Pacific,Australasia and Pacific,,Julia Gillard,1,26.67,55,36.56,33,34.28,30,33.92,31,40.3,37
Austria,AUT,Europe,Western Europe,,Brigitte Bierlein,1,57.14,1,38.52,26,-1,-1,23.09,77,48.4,21
Azerbaijan,AZE,Europe,Caucasus,,,0,3.03,181,17.36,128,-1,-1,35,26,19.5,110
Bahamas,BHS,Americas,Caribbean,,,0,6.67,166,21.82,94,-1,-1,-1,-1,11.7,164
Bahrain,BHR,Middle East and North Africa,Middle East,,,0,4.35,177,18.75,121,13.70,85,13.33,103,11.8,163
Bangladesh,BGD,Asia and the Pacific,South Asia,Sheikh Hasina,"Khaleda Zia, Sheikh Hasina (current) ",2,7.69,159,20.92,99,-1,-1,25.21,73,30.9,66
Barbados,BRB,Americas,Caribbean,Mia Mottley,Mia Mottley (current),1,26.09,58,29.41,57,27.41,51,-2,-2,29.4,75
Belarus,BLR,Europe,Eastern Europe,,,0,3.45,180,34.71,38,-1,-1,48.20,4,37.5,47
Belgium,BEL,Europe,Western Europe,Sophie Wilmès,Sophie Wilmès (current),1,25,64,41.90,13,-1,-1,39.03,19,42.6,32
Belize,BLZ,Americas,Central America,,,0,6.25,170,13.04,158,11.11,92,30.96,43,15.8,134
Benin,BEN,Sub-Saharan Africa,West Africa,,,0,20.83,90,7.23,177,8.43,100,4.65,121,9.6,173
Bhutan,BTN,Asia and the Pacific,South Asia,,,0,10,148,15.28,142,7.44,103,10.62,110,9.8,171
Bolivia,BOL,Americas,South America,Jeanine Áñez *,,0,25.00,64,51.81,1,-1,-1,50.47,1,58.3,11
Bosnia and Herzegovina,BIH,Europe,Southeastern Europe,,,0,22.22,77,21.05,97,-1,-1,18.59,83,19.5,110
Botswana,BWA,Sub-Saharan Africa,Southern Africa,,,0,21.05,89,10.77,165,5.71,107,12.67,105,11.9,160
Brazil,BRA,Americas,South America,,Dilma Rousseff,1,9.09,154,14.48,145,31.63,40,13.51,101,19.3,113
Brunei,BRN,Asia and the Pacific,South Asia,,,0,0,182,9.09,171,-1,-1,-2,-2,3.3,189
Bulgaria,BGR,Europe,Southeastern Europe,,,0,36.84,32,26.67,66,25.84,55,25.96,68,32.9,60
Burkina Faso,BFA,Sub-Saharan Africa,West Africa,,,0,14.29,123,13.39,154,29.87,46,12.68,105,17.9,122
Burundi,BDI,Sub-Saharan Africa,East Africa,,Sylvie Kinigi,1,26.09,58,38.75,24,-1,-1,19.10,82,30.7,67
Cambodia,KHM,Asia and the Pacific,South Asia,,,0,9.38,153,18.72,122,-1,-1,16.09,93,13.1,149
Cameroon,CMR,Sub-Saharan Africa,Central Africa,,,0,14.89,121,31.07,50,-1,-1,25.33,71,24.1,90
Canada,CAN,Americas,North America,,Kim Campbell,1,50,1,33.41,43,34.30,30,26.60,63,47.8,23
Cape Verde,CPV,Sub-Saharan Africa,West Africa,,,0,21.43,86,25.00,72,13.25,87,28.36,51,23.1,94
Central African Republic,CAF,Sub-Saharan Africa,Central Africa,,,0,20.00,92,8.57,173,-1,-1,-1,-1,11.5,165
Chad,TCD,Sub-Saharan Africa,West Africa,,,0,25.93,62,15.43,140,10.29,94,-1,-1,16.2,132
Chile,CHL,Americas,South America,,Michelle Bachelet,1,33.33,35,22.73,89,41.30,13,24.86,75,39.0,40
China,CHN,Asia and the Pacific,East Asia,,,0,6.45,168,24.94,75,-1,-1,-1,-1,13.4,147
Colombia,COL,Americas,South America,,,0,57.89,1,19.64,112,31.96,38,17.90,87,38.6,42
Comoros,COM,Sub-Saharan Africa,East Africa,,,0,8.33,156,16.67,134,-1,-1,28,53,17.0,128
Costa Rica,CRI,Americas,Central America,,Laura Chinchilla,1,50.00,1,45.61,10,49.33,2,45.64,8,74.2,1
Croatia,HRV,Europe,Southeastern Europe,,"Jadranka Kosor, Kolinda Grabar-Kitarović",2,20,92,19.21,116,39.74,19,26.39,64,32.3,61
Cuba,CUB,Americas,Caribbean,,,0,21.88,82,53.22,1,53.22,1,34.87,27,56.3,13
Cyprus,CYP,Europe,Southeastern Europe,,,0,15.38,116,19.64,112,21.91,62,-1,-1,17.7,124
Czech Republic,CZE,Europe,Eastern Europe,,,0,28.57,54,20.28,104,28.30,49,27.06,58,28.4,82
North Korea,PRK,Asia and the Pacific,East Asia,,,0,-1,-1,17.61,126,17.61,72,-1,-1,14.3,140
Democratic Republic of Congo,COD,Sub-Saharan Africa,Central Africa,,,0,17.39,104.0,14.29,147,-1,-1,-1,-1,12.6,153
Denmark,DNK,Europe,Northern Europe,Mette Frederiksen,"Helle Thorning-Schmidt, Mette Frederiksen (current)",2,31.58,44,39.66,21,34.33,29,33.33,35,44.2,29
Djibouti,DJI,Sub-Saharan Africa,East Africa,,,0,13.04,130,26.15,69,-1,-1,28.87,48,22.8,95
Dominica,DMA,Americas,Caribbean,,Dame Eugenia Charles,1,31.25,48,34.38,40,30.95,44,-1,-1,41.9,34
Dominican Republic,DOM,Americas,Caribbean,,,0,17.39,104,25.23,71,35.82,25,28.34,52,30.0,71
East Timor,TLS,Asia and the Pacific,South Asia,,,0,18.18,100,38.46,27,-1,-1,3.95,122,22.2,98
Ecuador,ECU,Americas,South America,,,0,37.93,31,39.42,22,-1,-1,27.17,57,40.9,36
Egypt,EGY,Middle East and North Africa,North Africa,,,0,24.24,69,15.10,143,5.68,108,-2,-2,14.0,143
El Salvador,SLV,Americas,Central America,,,0,47.06,17,33.33,44,20.36,64,32.44,36,42.5,33
Equatorial Guinea,GNQ,Sub-Saharan Africa,Central Africa,,,0,7.14,162,19.19,117,-1,-1,26.85,60,17.0,128
Eritrea,ERI,Sub-Saharan Africa,East Africa,,,0,17.65,101.0,-1,-2,-1,-1,-1,-1,10.7,168
Estonia,EST,Europe,Northern Europe,Kersti Kaljulaid,Kersti Kaljulaid (current),1,14.29,123,28.71,59,32.12,35,28.63,49,29.9,72
Eswatini,SWZ,Sub-Saharan Africa,Southern Africa,,,0,31.58,44,18.45,124,15.18,81,14.21,100,20.7,105
Ethiopia,ETH,Sub-Saharan Africa,East Africa,Sahle-Work Zewde,Sahle-Work Zewde (current),1,47.62,16,37.29,30,-1,-1,-1,-1,50.8,19
Fiji,FJI,Asia and the Pacific,Australasia and Pacific,,,0,23.08,74,19.61,112,23.83,56,-1,-1,21.4,101
Finland,FIN,Europe,Northern Europe,Sanna Marin,"Tarja Halonen, Anneli Jäätteenmäki, Mari Kiviniemi, Sanna Marin (current)",4,61.11,1,46,9,41.98,11,39,18,68.3,4
France,FRA,Europe,Western Europe,,Édith Cresson,1,52.94,1,37.19,31,42.43,9,40.40,15,60.4,10
Gabon,GAB,Sub-Saharan Africa,Central Africa,,,0,26.09,58,16.12,135,-1,-1,-1,-1,18.2,117
Gambia,GMB,Sub-Saharan Africa,West Africa,,,0,22.22,77,8.62,173,8.79,98,-1,-1,11.9,160
Georgia,GEO,Europe,Caucasus,Salome Zurabishvili,Salome Zurabishvili (current),1,45.45,18,14.09,148,17.52,73,13.46,101,27.7,83
Germany,DEU,Europe,Western Europe,Angela Merkel,Angela Merkel (current),1,40,26,31.62,47,29.00,47,28,56,43.1,30
Ghana,GHA,Sub-Saharan Africa,West Africa,,,0,25,64,13.09,156,11.83,90,3.80,124,13.2,148
Greece,GRC,Europe,Southeastern Europe,Katerina Sakellaropoulou,Katerina Sakellaropoulou (current),1,11.11,139,20.67,101,-1,-1,-1,-1,13.0,150
Grenada,GRD,Americas,Caribbean,,,0,41.67,25,39.29,23,31.11,43,-2,-2,45.3,27
Guatemala,GTM,Americas,Central America,,,0,13.33,128,19.38,115,-1,-1,10.59,111,12.8,151
Guinea,GIN,Sub-Saharan Africa,West Africa,,,0,10.81,145,15.79,138,-1,-1,15.43,96,12.3,157
Guinea-Bissau,GNB,Sub-Saharan Africa,West Africa,,,0,50.00,1,13.73,151,-1,-1,-1,-1,38.6,42
Guyana,GUY,Americas,South America,,Janet Jagan,1,40.00,26,-1,-2,-1,-1,-1,-1,34.5,56
Haiti,HTI,Americas,Caribbean,,"Claudette Werleigh, Michèle Pierre-Louis",2,-1,-1,0.00,187,8.02,101,-1,-1,3.6,188
Honduras,HND,Americas,Central America,,,0,33.33,35,21.09,97,-1,-1,27.9,54,28.9,78
Hungary,HUN,Europe,Eastern Europe,,,0,15.38,116,12.06,162,26.84,52,28.50,50,21.7,100
Iceland,ISL,Europe,Northern Europe,Katrín Jakobsdóttir,"Vigdís Finnbogadóttir, Jóhanna Sigurðardóttir, Katrín Jakobsdóttir (current)",3,40,26,38.10,28,44.61,6,47,6,68.2,5
India,IND,Asia and the Pacific,South Asia,,"Indira Gandhi, Pratibha Patil",2,12.50,134,13.15,156,-1,-1,44.37,10,37.1,49
Indonesia,IDN,Asia and the Pacific,South Asia,,Megawati Sukarnoputri,1,14.29,123,20.35,103,-1,-1,14.37,99,15.9,133
Iran,IRN,Middle East and North Africa,Middle East,,,0,6.45,168,8.17,175,-1,-1,3.20,126,4.8,187
Iraq,IRQ,Middle East and North Africa,Middle East,,,0,4.55,176,26.44,68,28.77,48,25.69,70,23.2,93
Ireland,IRL,Europe,Western Europe,,"Mary Robinson, Mary McAleese",2,26.67,55,24.40,78,-1,-1,23.92,76,34.6,54
Israel,ISR,Middle East and North Africa,Middle East,,Golda Meir,1,16.67,109,25.00,72,-1,-1,17.13,90,20.4,106
Italy,ITA,Europe,Western Europe,,,0,33.33,35,35.26,35,-1,-1,30.36,44,37.0,50
Ivory Coast,CIV,Sub-Saharan Africa,West Africa,,,0,12.77,133,13.56,153,12.43,89,14.95,97,12.4,155
Jamaica,JAM,Americas,Caribbean,,Portia Simpson-Miller,1,23.53,71,19.05,119,17.11,75,18.42,85,21.1,103
Japan,JPN,Asia and the Pacific,East Asia,,,0,15.79,113,14.39,146,20.19,65,12.87,104,15.1,139
Jordan,JOR,Middle East and North Africa,Middle East,,,0,13.79,127,15.38,140,20.13,66,31.85,38,21.2,102
Kazakhstan,KAZ,Russia and Central Asia,Central Asia,,,0,5.00,174,22.08,93,20.09,67,22.19,78,17.4,127
Kenya,KEN,Sub-Saharan Africa,East Africa,,,0,26.09,58,23.26,85,-1,-1,33.54,34,29.0,77
Kiribati,KIR,Asia and the Pacific,Australasia and Pacific,,,0,0,182,8.89,172,-1,-1,-1,-1,3.3,189
Kosovo,XKO,Europe,Southeastern Europe,,Atifete Jahjaga,1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2
Kuwait,KWT,Middle East and North Africa,Middle East,,,0,21.43,86,6.35,178,4.78,110,-2,-2,9.8,171
Kyrgyzstan,KGZ,Russia and Central Asia,Central Asia,,Roza Otunbayeva,1,9.52,152,19.17,117,-1,-1,-1,-1,12.1,159
Laos,LAO,Asia and the Pacific,South Asia,,,0,11.11,139,27.52,63,23.70,57,32.22,37,25.8,86
Latvia,LVA,Europe,Northern Europe,,"Vaira Vīķe-Freiberga, Laimdota Straujuma",2,23.08,74,30,52,31.76,39,34,30,37.3,48
Lebanon,LBN,Middle East and North Africa,Middle East,,,0,31.58,44,4.69,183,11.37,91,4,122,13.6,145
Lesotho,LSO,Sub-Saharan Africa,Southern Africa,,,0,7.41,161,23.03,87,31.37,41,39.02,19,29.5,74
Liberia,LBR,Sub-Saharan Africa,West Africa,,Ellen Johnson Sirleaf,1,22.22,77.0,9.71,169,16.24,77,-2,-2,19.5,110
Libya,LBY,Middle East and North Africa,North Africa,,,0,-1,-1,15.96,137,8.87,97,-1,-1,9.6,173
Liechtenstein,LIE,Europe,Western Europe,,,0,40,26,12,163,22.54,58,39.13,17,34.7,53
Lithuania,LTU,Europe,Northern Europe,,"Kazimira Prunskienė, Dalia Grybauskaitė",2,7.69,159,24.11,80,31.24,42,29.36,46,28.8,80
Luxembourg,LUX,Europe,Western Europe,,,0,29.41,52,30,52,45.52,5,25.11,74,40.3,37
Madagascar,MDG,Sub-Saharan Africa,East Africa,,,0,30.00,50,16.90,132,-1,-1,-1,-1,21.1,103
Malawi,MWI,Sub-Saharan Africa,East Africa,,Joyce Banda,1,11.11,139,22.92,88,22.20,61,14.57,98,18.2,117
Malaysia,MYS,Asia and the Pacific,South Asia,,,0,18.52,98,15.52,139,8.75,98,-1,-1,12.7,152
Maldives,MDV,Asia and the Pacific,South Asia,,,0,25.93,62,4.60,184,9.72,95,6.13,120,11.4,166
Mali,MLI,Sub-Saharan Africa,West Africa,,Cissé Mariam Kaïdama Sidibé,1,25.00,64,27.89,61,30.35,45,25.25,72,30.1,69
Malta,MLT,Europe,Western Europe,,"Agatha Barbara, Marie-Louise Coleiro Preca",2,11.76,137,13.43,154,-1,-1,22.03,79,18.1,121
Marshall Islands,MHL,Asia and the Pacific,Australasia and Pacific,,Hilda Heine,1,10,148,6.06,180,-1,-1,16,94,10.5,170
Mauritania,MRT,Sub-Saharan Africa,West Africa,,,0,20.00,92,20.26,104,-1,-1,31.37,40,24.0,91
Mauritius,MUS,Sub-Saharan Africa,East Africa,,Ameenah Gurib,1,12.50,134,20.00,106,-1,-1,26.17,65,19.7,109
Mexico,MEX,Americas,North America,,,0,35.00,34,48.41,5,-1,-1,37.44,21,51.9,17
Micronesia,FSM,Asia and the Pacific,Australasia and Pacific,,,0,22.22,77,0,187,6.45,104,-1,-1,8.9,178
Moldova,MDA,Europe,Southeastern Europe,,"Zinaida Greceanîi, Maia Sandu",2,11.11,139,24.75,77,34.80,28,35.60,24,31.3,63
Monaco,MCO,Europe,Western Europe,,,0,20,92,33.33,44,-1,-1,-1,-1,25,88
Mongolia,MNG,Asia and the Pacific,East Asia,,,0,6.67,166,17.33,128,25.90,54,26.69,62,19.9,107
Montenegro,MNE,Europe,Southeastern Europe,,,0,22.22,77,29.63,55,32.14,34,27.77,55,31.3,63
Morocco,MAR,Middle East and North Africa,North Africa,,,0,15.79,113,18.45,124,-1,-1,20.87,80,17.0,128
Mozambique,MOZ,Sub-Saharan Africa,Southern Africa,,Luísa Diogo,1,42.86,21,41.20,16,-1,-1,-1,-1,51.2,18
Myanmar,MMR,Asia and the Pacific,South Asia,,,0,3.85,178,11.45,164,13.44,86,-2,-2,8.1,179
