Country name,Country code,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments with dates,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Afghanistan,AFG,Asia and the Pacific,South Asia,, ,,0,6.45,169,27.22,69,16.26,71,16.53,94,16.7,135
Albania,ALB,Europe,Southeastern Europe,, ,,0,56.25,1,29.51,56,40.25,20,43.61,14,57.3,15
Algeria,DZA,Middle East and North Africa,North Africa,, ,,0,14.71,127,21.23,108,32.13,33,17.59,89,22.5,103
Andorra,AND,Europe,Western Europe,, ,,0,50.00,1,46.43,9,46.21,4,35.80,25,65.7,7
Angola,AGO,Sub-Saharan Africa,Southern Africa,, ,,0,31.82,48,29.55,56,-1,-1,-1,-1,29.5,73
Antigua and Barbuda,ATG,Americas,Caribbean,, ,,0,15.38,122,31.43,51,-1,-1,66.67,1,41,40
Argentina,ARG,Americas,South America,,"Isabel Martinez de Peron (July 1, 1974 to March 24, 1976), Cristina Fernandez de Kirchner (December 10, 2007 to December 9, 2015)","Isabel Martinez de Peron, Cristina Fernandez de Kirchner",2,18.18,105,41.95,18,-1,-1,-1,-1,36.4,56
Armenia,ARM,Europe,Caucasus,, ,,0,0.00,182,22.73,98,32.13,33,9.04,117,17.3,130
Australia,AUS,Asia and the Pacific,Australasia and Pacific,,"Julia Gillard (June 24, 2010 to June 27, 2013)",Julia Gillard,1,26.67,73,37.89,30,34.28,29,33.92,32,41.0,40
Austria,AUT,Europe,Western Europe,,"Brigitte Bierlein (June 3, 2019 to January 7, 2020)",Brigitte Bierlein,1,57.14,1,40.57,19,-1,-1,23.09,78,49.8,22
Azerbaijan,AZE,Europe,Caucasus,, ,,0,0,182,18.18,131,21.00,61,35,28,20.5,115
Bahamas,BHS,Americas,Caribbean,, ,,0,6.67,166,21.82,103,-1,-1,-1,-1,11.7,160
Bahrain,BHR,Middle East and North Africa,Middle East,, ,,0,4.55,175,18.75,126,13.70,79,13.33,104,11.8,158
