Country name,Country code,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments with dates,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Afghanistan,AFG,Asia and the Pacific,South Asia,, ,,0,9.68,151,27.22,69,16.26,80,16.53,94,17.5,127
Albania,ALB,Europe,Southeastern Europe,, ,,0,53.33,1,29.51,57,40.25,19,43.61,14,57.3,14
Algeria,DZA,Middle East and North Africa,North Africa,, ,,0,15.15,120,21.06,99,32.13,32,17.59,89,22.6,97
Andorra,AND,Europe,Western Europe,, ,,0,50.00,1,46.43,8,46.21,4,35.80,25,65.7,7
Angola,AGO,Sub-Saharan Africa,Southern Africa,, ,,0,40.00,26,30,51,-1,-1,-1,-1,36.5,53
Antigua and Barbuda,ATG,Americas,Caribbean,, ,,0,15.38,116,31.43,49,-1,-1,66.67,1,41,36
Argentina,ARG,Americas,South America,,"Isabel Martinez de Peron (July 1, 1974 to March 24, 1976), Cristina Fernandez de Kirchner (December 10, 2007 to December 9, 2015)","Isabel Martinez de Peron, Cristina Fernandez de Kirchner",2,22.73,76,40.73,18,-1,-1,-1,-1,37.7,48
Armenia,ARM,Europe,Caucasus,, ,,0,7.14,162,23.48,85,32.13,32,9.04,117,19.1,116
Australia,AUS,Asia and the Pacific,Australasia and Pacific,,"Julia Gillard (June 24, 2010 to June 27, 2013)",Julia Gillard,1,26.67,55,36.56,32,34.28,29,33.92,32,40.3,38
Austria,AUT,Europe,Western Europe,,"Brigitte Bierlein (June 3, 2019 to January 7, 2020)",Brigitte Bierlein,1,57.14,1,38.52,26,-1,-1,23.09,78,48.4,22
Azerbaijan,AZE,Europe,Caucasus,, ,,0,3.03,181,17.36,129,21.00,67,35,28,20.9,107
Bahamas,BHS,Americas,Caribbean,, ,,0,6.67,166,21.82,96,-1,-1,-1,-1,11.7,165
Bahrain,BHR,Middle East and North Africa,Middle East,, ,,0,4.35,177,18.75,122,13.70,88,13.33,104,11.8,163
Bangladesh,BGD,Asia and the Pacific,South Asia,Sheikh Hasina,"Khaleda Zia (February 27, 1991 to March 30, 1996), Sheikh Hasina (June 12, 1996 to July 15, 2001), Khaleda Zia (October 1, 2001 to October 29, 2006), Sheikh Hasina (January 6, 2009 to Incumbent)","Khaleda Zia, Sheikh Hasina (current) ",2,7.69,159,20.92,102,-1,-1,25.21,74,31.1,64
Barbados,BRB,Americas,Caribbean,Mia Mottley,"Mia Mottley (May 25, 2018 to Incumbent)",Mia Mottley (current),1,26.09,58,29.41,59,27.41,50,-2,-2,29.5,72
Belarus,BLR,Europe,Eastern Europe,, ,,0,3.45,180,34.71,39,-1,-1,48.20,4,37.5,49
Belgium,BEL,Europe,Western Europe,Sophie Wilmes,"Sophie Wilmes (October 27, 2019 to Incumbent)",Sophie Wilmes (current),1,25,64,41.90,14,-1,-1,39.03,22,42.7,32
Belize,BLZ,Americas,Central America,, ,,0,6.25,170,13.04,158,11.11,96,30.96,44,15.8,137
Benin,BEN,Sub-Saharan Africa,West Africa,, ,,0,20.83,90,7.23,177,8.43,105,4.65,122,9.6,174
