Quarter,Country,Current Account Balance,Bilateral Balance,Reserves,Forwards,FX Intervention
12/1/00,Argentina,-0.0275,-1.5960,-0.0059,0.0000,-0.0059,
3/1/01,Argentina,-0.0264,-1.5936,-0.0166,-0.0084,-0.0251,
6/1/01,Argentina,-0.0252,-1.5324,-0.0243,-0.0045,-0.0288,
9/1/01,Argentina,-0.0199,-1.3271,-0.0178,-0.0013,-0.0191,
12/1/01,Argentina,-0.0119,-0.9066,-0.0431,0.0000,-0.0431,
3/1/02,Argentina,0.0019,-0.1645,-0.0423,0.0102,-0.0321,
6/1/02,Argentina,0.0188,0.5559,-0.0599,0.0067,-0.0532,
9/1/02,Argentina,0.0446,1.0999,-0.0778,0.0025,-0.0752,
12/1/02,Argentina,0.0762,1.6018,-0.0419,0.0000,-0.0419,
3/1/03,Argentina,0.0865,1.5000,-0.0235,0.0000,-0.0235,
6/1/03,Argentina,0.0850,1.3906,0.0177,0.0000,0.0177,
9/1/03,Argentina,0.0701,1.1436,0.0272,0.0000,0.0272,
12/1/03,Argentina,0.0569,0.7326,0.0222,0.0000,0.0222,
3/1/04,Argentina,0.0440,0.4406,0.0260,0.0000,0.0260,
6/1/04,Argentina,0.0333,0.2356,0.0309,0.0000,0.0309,
9/1/04,Argentina,0.0262,0.1731,0.0268,0.0000,0.0268,
12/1/04,Argentina,0.0198,0.3574,0.0291,0.0000,0.0291,
3/1/05,Argentina,0.0165,0.5156,0.0277,0.0000,0.0277,
6/1/05,Argentina,0.0154,0.4400,0.0282,0.0000,0.0282,
9/1/05,Argentina,0.0216,0.5841,0.0360,0.0000,0.0360,
12/1/05,Argentina,0.0262,0.4617,0.0408,0.0000,0.0408,
3/1/06,Argentina,0.0280,0.3471,0.0030,0.0000,0.0030,
6/1/06,Argentina,0.0279,0.1727,0.0066,0.0000,0.0066,
9/1/06,Argentina,0.0249,-0.3987,0.0057,0.0000,0.0057,
12/1/06,Argentina,0.0277,-0.7969,0.0100,0.0000,0.0100,
3/1/07,Argentina,0.0262,-1.0133,0.0549,0.0000,0.0549,
6/1/07,Argentina,0.0252,-1.1478,0.0608,0.0000,0.0608,
9/1/07,Argentina,0.0200,-1.3479,0.0447,0.0000,0.0447,
12/1/07,Argentina,0.0209,-1.3689,0.0387,0.0000,0.0387,
3/1/08,Argentina,0.0219,-1.5044,0.0326,0.0000,0.0326,
6/1/08,Argentina,0.0152,-1.8951,0.0035,0.0000,0.0035,
9/1/08,Argentina,0.0213,-1.9045,0.0058,0.0000,0.0058,
12/1/08,Argentina,0.0148,-1.7143,-0.0040,0.0000,-0.0040,
3/1/09,Argentina,0.0146,-1.6107,-0.0124,0.0000,-0.0124,
6/1/09,Argentina,0.0266,-1.2253,-0.0068,0.0000,-0.0068,
9/1/09,Argentina,0.0209,-1.2766,-0.0011,0.0000,-0.0011,
12/1/09,Argentina,0.0216,-1.6787,0.0015,0.0000,0.0015,
3/1/10,Argentina,0.0127,-2.1231,-0.0001,0.0000,-0.0001,
6/1/10,Argentina,0.0060,-2.8139,0.0074,0.0000,0.0074,
9/1/10,Argentina,0.0025,-3.1337,0.0056,0.0000,0.0056,
12/1/10,Argentina,-0.0038,-3.5894,0.0078,0.0000,0.0078,
3/1/11,Argentina,-0.0049,-3.8450,0.0054,0.0000,0.0054,
6/1/11,Argentina,-0.0080,-4.2313,0.0012,0.0000,0.0012,
9/1/11,Argentina,-0.0095,-4.9132,-0.0075,0.0000,-0.0075,
12/1/11,Argentina,-0.0101,-5.3957,-0.0130,0.0000,-0.0130,
3/1/12,Argentina,-0.0089,-5.4689,-0.0091,0.0000,-0.0091,
6/1/12,Argentina,-0.0088,-5.9801,-0.0105,0.0000,-0.0105,
9/1/12,Argentina,-0.0058,-5.9783,-0.0077,0.0000,-0.0077,
12/1/12,Argentina,-0.0037,-5.9075,-0.0067,0.0000,-0.0067,
3/1/13,Argentina,-0.0072,-5.9226,-0.0120,0.0000,-0.0120,
6/1/13,Argentina,-0.0084,-5.5988,-0.0150,0.0000,-0.0150,
9/1/13,Argentina,-0.0134,-5.5906,-0.0161,0.0000,-0.0161,
12/1/13,Argentina,-0.0214,-5.7087,-0.0199,0.0000,-0.0199,
3/1/14,Argentina,-0.0256,-6.3923,-0.0222,0.0000,-0.0222,
6/1/14,Argentina,-0.0246,-6.4789,-0.0143,0.0000,-0.0143,
9/1/14,Argentina,-0.0230,-6.6420,-0.0118,0.0000,-0.0118,
12/1/14,Argentina,-0.0162,-6.5767,0.0016,0.0000,0.0016,
3/1/15,Argentina,-0.0149,-6.1410,0.0085,0.0000,0.0085,
6/1/15,Argentina,-0.0195,-6.0262,0.0084,0.0000,0.0084,
9/1/15,Argentina,-0.0229,-5.7383,0.0093,0.0000,0.0093,
12/1/15,Argentina,-0.0274,-5.4108,-0.0080,0.0000,-0.0080,
3/1/16,Argentina,-0.0275,-5.3969,-0.0032,0.0000,-0.0032,
6/1/16,Argentina,-0.0291,-5.0110,-0.0053,0.0000,-0.0053,
9/1/16,Argentina,-0.0277,-4.3695,-0.0062,0.0000,-0.0062,
12/1/16,Argentina,-0.0271,-3.8730,0.0250,0.0000,0.0250,
3/1/17,Argentina,-0.0299,-3.7660,0.0365,0.0000,0.0365,
6/1/17,Argentina,-0.0350,-4.0248,0.0287,0.0000,0.0287,
9/1/17,Argentina,-0.0423,-4.2051,0.0317,0.0000,0.0317,
12/1/17,Argentina,-0.0485,-4.8188,0.0217,0.0000,0.0217,
3/1/18,Argentina,-0.0513,-4.7665,0.0140,0.0000,0.0140,
6/1/18,Argentina,-0.0556,-4.7164,0.0200,0.0000,0.0200,
9/1/18,Argentina,-0.0583,-5.0954,-0.0028,0.0000,-0.0028,
12/1/18,Argentina,-0.0506,-5.0742,0.0196,0.0000,0.0196,
3/1/19,Argentina,-0.0431,-4.7456,0.0087,0.0000,0.0087,
6/1/19,Argentina,-0.0318,-4.4056,0.0038,0.0000,0.0038,
9/1/19,Argentina,-0.0185,-3.8817,-0.0015,0.0000,-0.0015,
12/1/19,Argentina,-0.0089,-3.2349,-0.0492,0.0000,-0.0492,
3/1/20,Argentina,-0.0020,-3.0981,-0.0520,0.0000,-0.0520,
12/1/00,Australia,-0.0390,-6.0444,-0.0057,-0.0115,-0.0172,
3/1/01,Australia,-0.0333,-5.6352,0.0056,-0.0070,-0.0014,
6/1/01,Australia,-0.0257,-5.0126,0.0097,-0.0112,-0.0015,
9/1/01,Australia,-0.0217,-4.5810,0.0091,-0.0124,-0.0033,
12/1/01,Australia,-0.0212,-4.4527,0.0007,-0.0034,-0.0027,
3/1/02,Australia,-0.0217,-4.6644,-0.0016,-0.0054,-0.0070,
6/1/02,Australia,-0.0260,-5.2619,-0.0026,-0.0035,-0.0062,
9/1/02,Australia,-0.0321,-6.0400,-0.0020,-0.0006,-0.0026,
12/1/02,Australia,-0.0377,-6.6061,-0.0014,0.0010,-0.0004,
3/1/03,Australia,-0.0430,-6.5083,-0.0026,0.0027,0.0001,
6/1/03,Australia,-0.0488,-6.5427,0.0067,-0.0076,-0.0009,
9/1/03,Australia,-0.0528,-6.8225,0.0067,-0.0089,-0.0022,
12/1/03,Australia,-0.0541,-6.6740,0.0112,-0.0130,-0.0018,
3/1/04,Australia,-0.0557,-6.8565,0.0166,-0.0112,0.0054,
6/1/04,Australia,-0.0550,-6.8195,0.0048,0.0044,0.0092,
9/1/04,Australia,-0.0583,-6.4790,-0.0028,0.0099,0.0071,
12/1/04,Australia,-0.0628,-6.4124,0.0004,0.0053,0.0057,
3/1/05,Australia,-0.0652,-6.9192,-0.0031,0.0041,0.0011,
6/1/05,Australia,-0.0644,-7.3349,0.0079,-0.0081,-0.0002,
9/1/05,Australia,-0.0624,-7.6987,0.0054,-0.0039,0.0014,
12/1/05,Australia,-0.0592,-8.2464,0.0082,-0.0050,0.0032,
3/1/06,Australia,-0.0573,-8.3932,0.0103,-0.0077,0.0026,
6/1/06,Australia,-0.0578,-8.5145,0.0034,-0.0028,0.0006,
9/1/06,Australia,-0.0569,-8.8994,0.0097,-0.0100,-0.0004,
12/1/06,Australia,-0.0579,-9.3418,0.0099,-0.0127,-0.0028,
3/1/07,Australia,-0.0595,-9.6822,0.0093,-0.0127,-0.0033,
