Quarter,Country,Current Account Balance,Bilateral Balance,FX Intervention
12/1/2000,Argentina,-0.027510238,-1.596,-0.00586987
3/1/2001,Argentina,-0.026395171,-1.5936,-0.025070101
6/1/2001,Argentina,-0.025156094,-1.5324,-0.02877266
9/1/2001,Argentina,-0.019854107,-1.3271,-0.019121915
12/1/2001,Argentina,-0.011884047,-0.9066,-0.043103225
3/1/2002,Argentina,0.001873167,-0.1645,-0.032102695
6/1/2002,Argentina,0.018819007,0.5559,-0.053234137
9/1/2002,Argentina,0.044643971,1.0999,-0.075249415
12/1/2002,Argentina,0.076164262,1.6018,-0.04190035
3/1/2003,Argentina,0.086460208,1.5,-0.023473828
6/1/2003,Argentina,0.084973941,1.3906,0.017709897
9/1/2003,Argentina,0.070051111,1.1436,0.027157045
12/1/2003,Argentina,0.056880305,0.7326,0.022183253
3/1/2004,Argentina,0.043977985,0.4406,0.026022045
6/1/2004,Argentina,0.03330894,0.2356,0.030930692
9/1/2004,Argentina,0.02619611,0.1731,0.026789512
12/1/2004,Argentina,0.019790405,0.3574,0.029126835
3/1/2005,Argentina,0.01654889,0.5156,0.027670811
6/1/2005,Argentina,0.01540082,0.44,0.028160162
9/1/2005,Argentina,0.021556108,0.5841,0.035989196
12/1/2005,Argentina,0.026232499,0.4617,0.040793706
3/1/2006,Argentina,0.028021509,0.3471,0.003001373
6/1/2006,Argentina,0.027926435,0.1727,0.006630377
9/1/2006,Argentina,0.024946794,-0.3987,0.00568865
12/1/2006,Argentina,0.027729777,-0.7969,0.010047586
3/1/2007,Argentina,0.026172934,-1.0133,0.054860059
6/1/2007,Argentina,0.025167182,-1.1478,0.060779877
9/1/2007,Argentina,0.019966814,-1.3479,0.044719264
12/1/2007,Argentina,0.020881238,-1.3689,0.038706229
3/1/2008,Argentina,0.021899699,-1.5044,0.032642017
6/1/2008,Argentina,0.015193901,-1.8951,0.003463601
9/1/2008,Argentina,0.021274751,-1.9045,0.005843219
12/1/2008,Argentina,0.014807713,-1.7143,-0.004035851
3/1/2009,Argentina,0.014587206,-1.6107,-0.012425633
6/1/2009,Argentina,0.026552907,-1.2253,-0.006772291
9/1/2009,Argentina,0.020854494,-1.2766,-0.001109982
12/1/2009,Argentina,0.02159239,-1.6787,0.001546558
3/1/2010,Argentina,0.01267318,-2.1231,-8.64653E-05
6/1/2010,Argentina,0.005975035,-2.8139,0.007404217
9/1/2010,Argentina,0.00250142,-3.1337,0.005555163
12/1/2010,Argentina,-0.003810999,-3.5894,0.007779956
3/1/2011,Argentina,-0.004941741,-3.845,0.00541146
6/1/2011,Argentina,-0.00795296,-4.2313,0.001192306
9/1/2011,Argentina,-0.009483025,-4.9132,-0.007521324
12/1/2011,Argentina,-0.010082758,-5.3957,-0.012974382
3/1/2012,Argentina,-0.008923184,-5.4689,-0.00911193
6/1/2012,Argentina,-0.008753715,-5.9801,-0.010466901
9/1/2012,Argentina,-0.00580304,-5.9783,-0.007689913
12/1/2012,Argentina,-0.003680806,-5.9075,-0.006655659
3/1/2013,Argentina,-0.007191927,-5.9226,-0.011983642
6/1/2013,Argentina,-0.008410489,-5.5988,-0.01499323
9/1/2013,Argentina,-0.01337644,-5.5906,-0.016128411
12/1/2013,Argentina,-0.021409661,-5.7087,-0.019855984
3/1/2014,Argentina,-0.025574622,-6.3923,-0.022222234
6/1/2014,Argentina,-0.024573715,-6.4789,-0.014343712
9/1/2014,Argentina,-0.023033077,-6.642,-0.01183188
12/1/2014,Argentina,-0.016218508,-6.5767,0.001629792
3/1/2015,Argentina,-0.014852782,-6.141,0.008540504
6/1/2015,Argentina,-0.01951897,-6.0262,0.008434529
9/1/2015,Argentina,-0.022910391,-5.7383,0.009299619
12/1/2015,Argentina,-0.027353585,-5.4108,-0.008024887
3/1/2016,Argentina,-0.027456531,-5.3969,-0.003167756
6/1/2016,Argentina,-0.029097117,-5.011,-0.005308212
9/1/2016,Argentina,-0.02774326,-4.3695,-0.006226957
12/1/2016,Argentina,-0.027113716,-3.873,0.025024431
3/1/2017,Argentina,-0.029909555,-3.766,0.036480137
6/1/2017,Argentina,-0.035011166,-4.0248,0.02873099
9/1/2017,Argentina,-0.042332369,-4.2051,0.031736939
12/1/2017,Argentina,-0.048456265,-4.8188,0.021668479
3/1/2018,Argentina,-0.051259123,-4.7665,0.013969228
6/1/2018,Argentina,-0.055645755,-4.7164,0.019964013
9/1/2018,Argentina,-0.058334211,-5.0954,-0.002757811
12/1/2018,Argentina,-0.050565799,-5.0742,0.019601819
3/1/2019,Argentina,-0.043074273,-4.7456,0.008676945
6/1/2019,Argentina,-0.031842448,-4.4056,0.003823622
9/1/2019,Argentina,-0.018464375,-3.8817,-0.001509845
12/1/2019,Argentina,-0.008935436,-3.2349,-0.049157057
3/1/2020,Argentina,-0.000462485,-3.0981,-0.052530296
6/1/2020,Argentina,0.011268392,-2.3437,-0.053879056
12/1/2000,Australia,-0.038951923,-6.0444,-0.017173194
3/1/2001,Australia,-0.033275236,-5.6352,-0.001426312
6/1/2001,Australia,-0.025748027,-5.0126,-0.001513565
9/1/2001,Australia,-0.021727894,-4.581,-0.003281792
12/1/2001,Australia,-0.021233375,-4.4527,-0.00272116
3/1/2002,Australia,-0.021738727,-4.6644,-0.007002917
6/1/2002,Australia,-0.026018609,-5.2619,-0.006155995
