Quarter,Country,Current Account Balance,Bilateral Balance,Reserves,Forwards,FX Intervention
12/1/00,Argentina,-0.027510238,1.596,-0.001268566,0,-0.001268566
3/1/01,Argentina,-0.026395171,1.5936,-0.012203691,-0.008448101,-0.020651792
6/1/01,Argentina,-0.025156094,1.5324,-0.020121699,-0.004452575,-0.024574274
9/1/01,Argentina,-0.019854107,1.3271,-0.014470428,-0.001311363,-0.015781792
12/1/01,Argentina,-0.011884047,0.9066,-0.040156901,0,-0.040156901
3/1/02,Argentina,0.001873167,0.1645,-0.039674451,0.010203028,-0.029471423
6/1/02,Argentina,0.018819007,-0.5559,-0.057389885,0.006669426,-0.05072046
9/1/02,Argentina,0.044643971,-1.0999,-0.074701958,0.002537723,-0.072164235
12/1/02,Argentina,0.076164262,-1.6018,-0.038689051,0,-0.038689051
3/1/03,Argentina,0.086460208,-1.5,-0.020268056,0,-0.020268056
6/1/03,Argentina,0.084973941,-1.3906,0.020330191,0,0.020330191
9/1/03,Argentina,0.070051111,-1.1436,0.029389887,0,0.029389887
12/1/03,Argentina,0.056880305,-0.7326,0.024019945,0,0.024019945
3/1/04,Argentina,0.043977985,-0.4406,0.027932892,0,0.027932892
6/1/04,Argentina,0.03330894,-0.2356,0.033226299,0,0.033226299
9/1/04,Argentina,0.02619611,-0.1731,0.029333358,0,0.029333358
12/1/04,Argentina,0.019790405,-0.3574,0.03183459,0,0.03183459
3/1/05,Argentina,0.01654889,-0.5156,0.030718768,0,0.030718768
6/1/05,Argentina,0.01540082,-0.44,0.031674243,0,0.031674243
9/1/05,Argentina,0.021556108,-0.5841,0.039921786,0,0.039921786
12/1/05,Argentina,0.026232499,-0.4617,0.045299035,0,0.045299035
3/1/06,Argentina,0.028021509,-0.3471,0.007362982,0,0.007362982
6/1/06,Argentina,0.027926435,-0.1727,0.010916151,0,0.010916151
9/1/06,Argentina,0.024946794,0.3987,0.010125647,0,0.010125647
12/1/06,Argentina,0.027729777,0.7969,0.014905555,0,0.014905555
3/1/07,Argentina,0.026172934,1.0133,0.060623601,0,0.060623601
6/1/07,Argentina,0.025167182,1.1478,0.066986397,0,0.066986397
9/1/07,Argentina,0.019966814,1.3479,0.05120447,0,0.05120447
12/1/07,Argentina,0.020881238,1.3689,0.045196418,0,0.045196418
3/1/08,Argentina,0.021899699,1.5044,0.038711253,0,0.038711253
