Country,Date,Gap Between Actual and Potential Growth,Actual Growth,Potential Growth
Albania,3/1/00,#N/A,#N/A,#N/A
Albania,6/1/00,#N/A,#N/A,#N/A
Albania,9/1/00,#N/A,#N/A,#N/A
Albania,12/1/00,#N/A,#N/A,#N/A
Albania,3/1/01,#N/A,#N/A,#N/A
Albania,6/1/01,#N/A,#N/A,#N/A
Albania,9/1/01,#N/A,#N/A,#N/A
Albania,12/1/01,#N/A,#N/A,#N/A
Albania,3/1/02,#N/A,#N/A,#N/A
Albania,6/1/02,#N/A,#N/A,#N/A
Albania,9/1/02,#N/A,#N/A,#N/A
Albania,12/1/02,#N/A,#N/A,#N/A
Albania,3/1/03,#N/A,#N/A,#N/A
Albania,6/1/03,#N/A,#N/A,#N/A
Albania,9/1/03,#N/A,#N/A,#N/A
Albania,12/1/03,#N/A,#N/A,#N/A
Albania,3/1/04,#N/A,#N/A,#N/A
Albania,6/1/04,#N/A,#N/A,#N/A
Albania,9/1/04,#N/A,#N/A,#N/A
Albania,12/1/04,#N/A,#N/A,#N/A
Albania,3/1/05,#N/A,#N/A,#N/A
Albania,6/1/05,#N/A,#N/A,#N/A
Albania,9/1/05,#N/A,#N/A,#N/A
Albania,12/1/05,#N/A,#N/A,#N/A
Albania,3/1/06,#N/A,7.8,#N/A
Albania,6/1/06,#N/A,1.4,#N/A
Albania,9/1/06,#N/A,3.8,#N/A
Albania,12/1/06,#N/A,8.1,#N/A
Albania,3/1/07,#N/A,5.7,#N/A
Albania,6/1/07,#N/A,4.5,#N/A
Albania,9/1/07,#N/A,4.2,#N/A
Albania,12/1/07,#N/A,6.8,#N/A
Albania,3/1/08,#N/A,11.4,#N/A
Albania,6/1/08,#N/A,8.7,#N/A
Albania,9/1/08,#N/A,9,#N/A
Albania,12/1/08,#N/A,2.3,#N/A
Albania,3/1/09,#N/A,4.5,#N/A
Albania,6/1/09,#N/A,9.2,#N/A
Albania,9/1/09,#N/A,2.6,#N/A
Albania,12/1/09,#N/A,1.8,#N/A
Albania,3/1/10,#N/A,3.9,#N/A
Albania,6/1/10,#N/A,2.2,#N/A
Albania,9/1/10,#N/A,3.8,#N/A
Albania,12/1/10,#N/A,5.2,#N/A
Albania,3/1/11,#N/A,5.7,#N/A
Albania,6/1/11,#N/A,-1.6,#N/A
Albania,9/1/11,#N/A,2.1,#N/A
Albania,12/1/11,#N/A,4.5,#N/A
Albania,3/1/12,#N/A,-0.9,#N/A
Albania,6/1/12,#N/A,4.3,#N/A
Albania,9/1/12,#N/A,1.4,#N/A
