Country,Date,Gap Between Actual and Potential Growth,Actual Growth,Potential Growth
Australia,3/1/99,#N/A,#N/A,#N/A
Australia,6/1/99,#N/A,#N/A,#N/A
Australia,9/1/99,#N/A,#N/A,#N/A
Australia,12/1/99,#N/A,#N/A,#N/A
Australia,3/1/00,#N/A,0.049636273,#N/A
Australia,6/1/00,#N/A,0.047803413,#N/A
Australia,9/1/00,#N/A,0.024264929,#N/A
Australia,12/1/00,#N/A,0.004883217,#N/A
Australia,3/1/01,-2.30,0.000402522,2.317160802
Australia,6/1/01,-2.80,-0.004999377,2.317160802
Australia,9/1/01,0.40,0.026879747,2.317160802
Australia,12/1/01,2.30,0.046014326,2.317160802
Australia,3/1/02,1.00,0.035860808,2.611574009
Australia,6/1/02,2.20,0.050864678,2.905987215
Australia,9/1/02,0.90,0.041191617,3.200400422
Australia,12/1/02,0.20,0.036878419,3.494813629
Australia,3/1/03,-1.40,0.023073489,3.738032305
Australia,6/1/03,-1.70,0.022885805,3.981250982
Australia,9/1/03,-1.20,0.030599957,4.224469658
Australia,12/1/03,0.50,0.050097167,4.467688334
Australia,3/1/04,1.40,0.057767076,4.329719142
Australia,6/1/04,1.80,0.060231825,4.191749949
Australia,9/1/04,1.50,0.055905617,4.053780756
Australia,12/1/04,0.00,0.039216937,3.915811564
Australia,3/1/05,-0.20,0.040548292,4.250468374
Australia,6/1/05,0.30,0.048747485,4.585125184
Australia,9/1/05,0.10,0.050619175,4.919781994
Australia,12/1/05,0.40,0.056925188,5.254438804
Australia,3/1/06,-0.40,0.047137955,5.067123437
Australia,6/1/06,-1.70,0.032273982,4.87980807
Australia,9/1/06,-0.50,0.041657473,4.692492704
Australia,12/1/06,0.10,0.046523716,4.505177337
Australia,3/1/07,2.20,0.069790729,4.767224597
Australia,6/1/07,2.80,0.078781085,5.029271857
Australia,9/1/07,1.00,0.063120802,5.291319118
Australia,12/1/07,-0.40,0.051882538,5.553366378
Australia,3/1/08,-2.70,0.032122212,5.866237786
Australia,6/1/08,-1.60,0.045828914,6.179109193
Australia,9/1/08,-0.80,0.057369272,6.491980601
Australia,12/1/08,-2.00,0.048395729,6.804852009
Australia,3/1/09,-1.50,0.038426813,5.379736006
Australia,6/1/09,-3.10,0.008374001,3.954620003
Australia,9/1/09,-4.30,-0.018034658,2.529504
Australia,12/1/09,-2.10,-0.009766059,1.104387997
Australia,3/1/10,-1.00,0.008457943,1.836545114
Australia,6/1/10,3.20,0.057207423,2.568702231
Australia,9/1/10,3.60,0.06863687,3.300859348
Australia,12/1/10,2.30,0.06288358,4.033016465
Australia,3/1/11,1.10,0.051371442,4.076257926
