Country,Date,Gap Between Actual and Potential Growth,Actual Growth,Potential Growth
Albania,3/1/00,#N/A,#N/A,#N/A
Albania,6/1/00,#N/A,#N/A,#N/A
Albania,9/1/00,#N/A,#N/A,#N/A
Albania,12/1/00,#N/A,#N/A,#N/A
Albania,3/1/01,#N/A,#N/A,#N/A
Albania,6/1/01,#N/A,#N/A,#N/A
Albania,9/1/01,#N/A,#N/A,#N/A
Albania,12/1/01,#N/A,#N/A,#N/A
Albania,3/1/02,#N/A,#N/A,#N/A
Albania,6/1/02,#N/A,#N/A,#N/A
Albania,9/1/02,#N/A,#N/A,#N/A
Albania,12/1/02,#N/A,#N/A,#N/A
Albania,3/1/03,#N/A,#N/A,#N/A
Albania,6/1/03,#N/A,#N/A,#N/A
Albania,9/1/03,#N/A,#N/A,#N/A
Albania,12/1/03,#N/A,#N/A,#N/A
Albania,3/1/04,#N/A,#N/A,#N/A
Albania,6/1/04,#N/A,#N/A,#N/A
Albania,9/1/04,#N/A,#N/A,#N/A
Albania,12/1/04,#N/A,#N/A,#N/A
Albania,3/1/05,#N/A,#N/A,#N/A
Albania,6/1/05,#N/A,#N/A,#N/A
Albania,9/1/05,#N/A,#N/A,#N/A
Albania,12/1/05,#N/A,#N/A,#N/A
Albania,3/1/06,#N/A,#N/A,#N/A
Albania,6/1/06,#N/A,#N/A,#N/A
Albania,9/1/06,#N/A,#N/A,#N/A
Albania,12/1/06,#N/A,#N/A,#N/A
Albania,3/1/07,#N/A,#N/A,#N/A
Albania,6/1/07,#N/A,#N/A,#N/A
Albania,9/1/07,#N/A,#N/A,#N/A
Albania,12/1/07,#N/A,#N/A,#N/A
Albania,3/1/08,#N/A,#N/A,#N/A
Albania,6/1/08,#N/A,#N/A,#N/A
Albania,9/1/08,#N/A,#N/A,#N/A
Albania,12/1/08,#N/A,#N/A,#N/A
Albania,3/1/09,#N/A,7.874501423,#N/A
Albania,6/1/09,#N/A,9.046811942,#N/A
Albania,9/1/09,#N/A,2.014686732,#N/A
Albania,12/1/09,#N/A,-3.722310687,#N/A
Albania,3/1/10,#N/A,1.638778478,#N/A
Albania,6/1/10,#N/A,1.701175882,#N/A
Albania,9/1/10,#N/A,4.91179052,#N/A
Albania,12/1/10,#N/A,9.984267944,#N/A
Albania,3/1/11,#N/A,4.810693516,#N/A
Albania,6/1/11,#N/A,-3.212106375,#N/A
Albania,9/1/11,#N/A,0.153549782,#N/A
Albania,12/1/11,#N/A,4.662874725,#N/A
Albania,3/1/12,#N/A,-0.342188894,#N/A
Albania,6/1/12,#N/A,4.028077949,#N/A
